hh_num,community_factor,age,sex_factor,race_factor,marriage_factor,housesize,property_factor,energy_factor,income,waterperson_factor,drinking,multiple,share,treat_domestic2,treat_drinking2,storage,cistern_elevated2,days_noservice,hours_noservice,intermittency
1,Timbire,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),No,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,none,store,no,0,12,84
2,Timbire,>60,hombre,mestizo,casado.o.union.libre,Large (more than 6),No,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,treatment,store,no,0,12,84
5,Borbon,36-46,mujer/otro,mestizo,soltero,Medium (4-6),Yes,Continuous,<= $394,Adult woman,No bottled water,single,yes,treatment,treatment,store,yes,6,23,167
5,Timbire,47-60,hombre,mestizo,casado.o.union.libre,Medium (4-6),Yes,Interrupted,<= $394,Adult man,No bottled water,multiple,no,none,treatment,store,no,0,12,84
7,Timbire,36-46,hombre,mestizo,soltero,Small (up to 3),Yes,Interrupted,<= $394,Adult man,No bottled water,multiple,no,none,none,no store,no,0,12,84
8,Borbon,<36,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,>394,Adult woman,Bottled water,single,no,treatment,none,store,no,3,18,144
8,Timbire,47-60,hombre,afro-ecuatoriano,soltero,Medium (4-6),Yes,Interrupted,<= $394,Adult man,No bottled water,multiple,no,none,none,store,no,0,12,84
9,Borbon,<36,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,Skipped,Adult man,Bottled water,single,no,treatment,none,no store,yes,4,18,150
9,Timbire,>60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,<= $394,Adult man,No bottled water,multiple,no,none,treatment,store,no,0,12,84
10,Borbon,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Continuous,Skipped,Adult man,Bottled water,single,no,treatment,none,no store,no,6,21,165
11,Timbire,<36,mujer/otro,afro-ecuatoriano,soltero,Small (up to 3),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,none,no store,no,0,12,84
12,Timbire,<36,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,none,store,no,0,12,84
13,Borbon,36-46,mujer/otro,mestizo,soltero,Medium (4-6),Yes,Continuous,>394,Adult woman,Bottled water,single,no,none,none,store,no,4,22,162
15,Timbire,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,none,store,no,0,12,84
16,Borbon,47-60,hombre,mestizo,casado.o.union.libre,Medium (4-6),Yes,Interrupted,>394,Adult man,No bottled water,multiple,no,none,treatment,store,yes,5,12,144
16,Timbire,>60,hombre,afro-ecuatoriano,soltero,Small (up to 3),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,none,store,no,0,12,84
17,Borbon,<36,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Interrupted,<= $394,Adult man,Bottled water,multiple,no,treatment,none,store,no,7,24,168
17,Timbire,>60,mujer/otro,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,<= $394,Adult man,No bottled water,multiple,no,none,treatment,store,no,0,12,84
18,Borbon,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,Skipped,Adult woman,No bottled water,single,no,none,none,store,no,5,20,160
18,Timbire,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,Skipped,Adult woman,No bottled water,multiple,no,none,none,store,no,0,12,84
20,Timbire,47-60,hombre,afro-ecuatoriano,soltero,Small (up to 3),Yes,Interrupted,<= $394,Adult man,No bottled water,multiple,no,none,none,no store,no,0,12,84
23,Timbire,<36,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),No,Interrupted,>394,Adult woman,No bottled water,multiple,no,none,none,no store,no,0,12,84
24,Timbire,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,<= $394,Adult man,No bottled water,multiple,no,none,none,store,no,0,12,84
25,Borbon,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),No,Continuous,<= $394,Adult man,Bottled water,single,no,none,none,no store,no,5,23,166
26,Timbire,<36,hombre,afro-ecuatoriano,casado.o.union.libre,Large (more than 6),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,none,store,no,0,12,84
27,Borbon,47-60,hombre,afro-ecuatoriano,casado.o.union.libre,Medium (4-6),Yes,Continuous,>394,Adult man,Bottled water,single,no,treatment,none,store,no,6,0,144
27,Timbire,36-46,hombre,afro-ecuatoriano,casado.o.union.libre,Small (up to 3),Yes,Interrupted,<= $394,Adult woman,No bottled water,multiple,no,none,none,no store,no,0,12,84
